class,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carb_g_per_100g
ayam bakar,372,17.57,30.95,7.14
ayam goreng,260,21.93,14.55,10.76
bakso,269,13.74,15.88,17.23
bakwan,228,3.31,19.31,11.23
bihun,109,0.91,0.2,24.9
bubur ayam,372,27.56,12.39,36.12
bubur kacang hijau,130,4.24,3.68,21.31
bubur mutiara,130,1,0.5,32
bubur sumsum,174,1.97,3.57,33.79
capcay,67,1.58,2.59,9.67
ceker ayam,215,19.4,14.6,0.2
cenil,84,0.46,1.05,18.53
es pisang ijo,301,2.84,13.27,47
gado-gado,318,17.22,17.86,26.28
gulai ikan,100,12.4,4.59,1.9
ikan goreng,84,17.76,0.92,0
kerupuk,65,0.83,2.11,10.4
ketan hijau,220,4.5,3,44
ketan hitam,241,2.97,5.39,45.37
lodeh,162,6.66,9.47,14.73
lontong,130,0.2,28.58,2.49
martabak telur,185,9.9,7.68,18.52
mie,137,4.51,2.06,25.01
nasi goreng,168,6.3,6.23,21.06
nasi kuning,95,1.89,0.17,20.86
nasi putih,129,2.66,0.28,27.9
nugget ayam,48,2.4,3.01,2.61
opor ayam,163,16.53,8.67,5.6
pasta,157,5.76,0.92,30.68
pecel,426,17.34,19.13,52.62
pempek (kapal selam),39,2.52,1.04,4.72
perkedel,21,0.46,1.12,2.48
pisang potong (buah segar),89,1.09,0.33,22.84
rawon,119,9.6,7.4,3.48
rendang,195,19.68,11.07,4.49
roti,66,1.91,0.82,12.65
sate,34,2.93,2.22,0.73
sate jeroan,116,16.92,4.83,0
sate telur,158,13.05,11.09,0.41
sosis,49,5.05,2.83,0.43
soto,312,24.01,14.92,19.55
tahu,35,2.23,2.62,1.36
telur,77,6.26,5.28,0.56
tempe,34,2,2.28,1.79
tongseng,169,10.81,11.83,6.43
tumis kangkung,98,2.56,8.71,3.99
udang,144,27.59,2.35,1.24
alpukat,160,2,15,9
apel,52,0.3,0.2,14
jeruk,47,0.9,0.1,12
melon,34,0.8,0.2,8
pepaya,43,0.5,0.3,11
semangka,30,0.6,0.2,8
oseng,232,10.19,18.64,9.42
sayur asem,80,3.18,2.76,12.9
sayur bayam,36,1.79,0.3,7.64
sop brokoli,72,2.12,1.93,11.98